timestamp,ecg_measurement,qrs_detected
6188132,2.1896383762,0
6192012,2.1700880527,0
6195876,2.1358749866,0
6199756,2.1309874057,0
6203628,2.1652004718,0
6207484,2.1945259571,0
6211372,2.1847507953,0
6215252,2.1505377292,0
6219132,2.1358749866,0
6223020,2.1652004718,0
6226892,2.2043011188,0
6230756,2.2140762805,0
6234628,2.1700880527,0
6238484,2.1554253101,0
6242364,2.1798632144,0
6246244,2.2140762805,0
6250124,2.2140762805,0
6253996,2.1847507953,0
6257876,2.1798632144,0
6261748,2.2189638614,0
6265636,2.2776148319,0
6269516,2.2971651554,0
6273404,2.2727272510,0
6277292,2.2385141849,0
6281172,2.2434017658,0
6285052,2.2629520893,0
6288932,2.2776148319,0
6292820,2.2189638614,0
6296700,2.1652004718,0
6300564,2.1505377292,0
6304444,2.1749756336,0
6308332,2.1847507953,0
6312212,2.1554253101,0
6316092,2.1065492630,0
6319964,2.0869989395,0
6323844,2.1114368438,0
6327724,2.1309874057,0
6331588,2.1260998249,0
6335460,2.1016616821,0
6339340,2.0772237777,0
6343220,2.1065492630,0
6347100,2.1358749866,0
6350988,2.1309874057,0
6354852,2.1114368438,0
6358732,2.0918865203,0
6362596,2.1163244247,0
6366484,2.1505377292,0
6370356,2.1505377292,0
6374236,2.1114368438,0
6378124,2.0869989395,0
6381996,2.1212120056,0
6385876,2.2140762805,0
6389740,2.3362658023,0
6393628,2.4926686286,0
6397500,2.7370479106,0
6401372,3.0889539718,0
6405244,3.4506354331,0
6409116,3.7194526195,0
6412996,3.7390029430,0
6416872,3.4995112419,0
6420748,3.1133918762,0
6424632,2.6392962932,0
6428500,2.1505377292,0
6432384,1.7497556209,1
6436264,1.4809384346,0
6440140,1.3880742835,0
6444012,1.4418377876,0
6447892,1.5444769859,0
6451764,1.6373411178,0
6455652,1.7155425548,0
6459532,1.7937438488,0
6463416,1.9012707710,0
6467288,1.9745845794,0
6471168,1.9990224838,0
6475048,1.9990224838,0
6478916,2.0136852264,0
6482788,2.0576734542,0
6486668,2.1016616821,0
6490540,2.1212120056,0
6494420,2.0967741012,0
6498284,2.0918865203,0
6502156,2.1212120056,0
6506036,2.1603128910,0
6509916,2.1749756336,0
6513804,2.1554253101,0
6517676,2.1358749866,0
6521548,2.1554253101,0
6525436,2.1994135379,0
6529324,2.2238514423,0
6533204,2.2091886997,0
6537076,2.1896383762,0
6540956,2.2091886997,0
6544828,2.2531769275,0
