timestamp ecg beat_detected ibi
1235550056.0 1.9305962562 0 12921140.0
1235554056.0 1.9599218368 0 12925140.0
1235558056.0 1.9452590942 0 12929140.0
1235562052.0 1.9110459327 0 12933136.0
1235566056.0 1.9208210945 0 12937140.0
1235570048.0 1.9403715133 0 12941132.0
1235574048.0 1.9550342559 0 12945132.0
1235578048.0 1.9452590942 0 12949132.0
1235582040.0 1.8963831901 0 12953124.0
1235586028.0 1.8914956092 0 12957112.0
1235590032.0 1.9159335136 0 12961116.0
1235594036.0 1.9110459327 0 12965120.0
1235598044.0 1.8914956092 0 12969128.0
1235602048.0 1.8426198005 0 12973132.0
1235606036.0 1.8328446388 0 12977120.0
1235610040.0 1.8670577049 0 12981124.0
1235614028.0 1.8914956092 0 12985112.0
1235618032.0 1.8866080284 0 12989116.0
1235622024.0 1.8670577049 0 12993108.0
1235626012.0 1.862170124 0 12997096.0
1235630008.0 1.8719452857 0 13001092.0
1235634016.0 1.8719452857 0 13005100.0
1235638024.0 1.8328446388 0 13009108.0
1235642028.0 1.7790811061 0 13013112.0
1235646024.0 1.7497556209 0 13017108.0
1235650020.0 1.7546432018 0 13021104.0
1235654020.0 1.7595307826 0 13025104.0
1235658024.0 1.7253177165 0 13029108.0
1235662036.0 1.6813293457 0 13033120.0
1235666044.0 1.6617790222 0 13037128.0
1235670052.0 1.6862169265 0 13041136.0
1235674056.0 1.6862169265 0 13045140.0
1235678060.0 1.6617790222 0 13049144.0
1235682060.0 1.6275659561 0 13053144.0
1235686068.0 1.6177907943 0 13057152.0
1235690068.0 1.6471162796 0 13061152.0
1235694076.0 1.666666603 0 13065160.0
1235698068.0 1.6568914413 0 13069152.0
1235702076.0 1.6324535369 0 13073160.0
1235706084.0 1.6324535369 0 13077168.0
1235710096.0 1.6715541839 0 13081180.0
1235714096.0 1.6959922313 0 13085180.0
1235718104.0 1.6862169265 0 13089188.0
1235722108.0 1.6617790222 0 13093192.0
1235726108.0 1.6764417648 0 13097192.0
1235730120.0 1.7106549739 0 13101204.0
1235734120.0 1.7497556209 0 13105204.0
1235738116.0 1.7204301357 0 13109200.0
1235742116.0 1.6959922313 0 13113200.0
1235746128.0 1.7008798122 0 13117212.0
1235750120.0 1.7399804592 0 13121204.0
1235754116.0 1.7644183635 0 13125200.0
1235758124.0 1.7497556209 0 13129208.0
1235762120.0 1.7155425548 0 13133204.0
1235766128.0 1.7204301357 0 13137212.0
1235770124.0 1.7546432018 0 13141208.0
1235774124.0 1.7790811061 0 13145208.0
1235778124.0 1.7644183635 0 13149208.0
1235782132.0 1.7350928783 0 13153216.0
1235786136.0 1.7497556209 0 13157220.0
1235790132.0 1.7741935253 0 13161216.0
1235794140.0 1.7986314296 0 13165224.0
1235798148.0 1.7888562679 0 13169232.0
1235802156.0 1.7595307826 0 13173240.0
1235806148.0 1.7595307826 0 13177232.0
1235810148.0 1.7937438488 0 13181232.0
1235814156.0 1.8181818962 0 13185240.0
1235818164.0 1.7937438488 0 13189248.0
1235822176.0 1.7790811061 0 13193260.0
1235826172.0 1.7546432018 0 13197256.0
1235830176.0 1.7888562679 0 13201260.0
1235834172.0 1.8181818962 0 13205256.0
1235838184.0 1.7888562679 0 13209268.0
1235842188.0 1.7595307826 0 13213272.0
1235846188.0 1.7497556209 0 13217272.0
1235850180.0 1.7790811061 0 13221264.0
1235854180.0 1.8035190582 0 13225264.0
1235858176.0 1.7790811061 0 13229260.0
1235862176.0 1.74486804 0 13233260.0
1235866168.0 1.7497556209 0 13237252.0
1235870164.0 1.7741935253 0 13241248.0
1235874172.0 1.7937438488 0 13245256.0
1235878180.0 1.7790811061 0 13249264.0
1235882184.0 1.7497556209 0 13253268.0
1235886176.0 1.7497556209 0 13257260.0
1235890168.0 1.7790811061 0 13261252.0
1235894164.0 1.7986314296 0 13265248.0
1235898172.0 1.783968687 0 13269256.0
1235902164.0 1.7546432018 0 13273248.0
1235906164.0 1.7546432018 0 13277248.0
1235910164.0 1.7888562679 0 13281248.0
1235914168.0 1.808406639 0 13285252.0
1235918156.0 1.7888562679 0 13289240.0
1235922156.0 1.7546432018 0 13293240.0
1235926156.0 1.7546432018 0 13297240.0
1235930156.0 1.7937438488 0 13301240.0
1235934156.0 1.8035190582 0 13305240.0
1235938156.0 1.783968687 0 13309240.0
1235942160.0 1.74486804 0 13313244.0
1235946152.0 1.74486804 0 13317236.0
1235950140.0 1.7790811061 0 13321224.0
1235954140.0 1.8035190582 0 13325224.0
1235958140.0 1.783968687 0 13329224.0
1235962140.0 1.7595307826 0 13333224.0
1235966140.0 1.7546432018 0 13337224.0
1235970140.0 1.7888562679 0 13341224.0
1235974136.0 1.808406639 0 13345220.0
1235978120.0 1.7888562679 0 13349204.0
1235982116.0 1.7546432018 0 13353200.0
1235986116.0 1.7546432018 0 13357200.0
1235990116.0 1.7986314296 0 13361200.0
1235994128.0 1.8279570579 0 13365212.0
1235998128.0 1.8279570579 0 13369212.0
1236002128.0 1.808406639 0 13373212.0
1236006108.0 1.8132943153 0 13377192.0
1236010116.0 1.8523949623 0 13381200.0
1236014124.0 1.8914956092 0 13385208.0
1236018116.0 1.9110459327 0 13389200.0
1236022116.0 1.8914956092 0 13393200.0
1236026116.0 1.9110459327 0 13397200.0
1236030120.0 1.9550342559 0 13401204.0
1236034120.0 1.9843597412 0 13405204.0
1236038128.0 1.969695 0 13409212.0
1237250832.0 1.901270771 0 14621916.0
1237254824.0 1.9208210945 0 14625908.0
1237258812.0 1.9110459327 0 14629896.0
1237262816.0 1.8719452857 0 14633900.0
1237266824.0 1.8719452857 0 14637908.0
1237270832.0 1.9061583518 0 14641916.0
1237274840.0 1.9257086753 0 14645924.0
1237278836.0 1.9110459327 0 14649920.0
1237282836.0 1.8817204475 0 14653920.0
1237286832.0 1.8866080284 0 14657916.0
1237290824.0 1.9208210945 0 14661908.0
1237294824.0 1.9403715133 0 14665908.0
1237298828.0 1.9159335136 0 14669912.0
1237302848.0 1.8719452857 0 14673932.0
1237306856.0 1.862170124 0 14677940.0
1237310856.0 1.8719452857 0 14681940.0
1237314860.0 1.8817204475 0 14685944.0
1237318864.0 1.8279570579 0 14689948.0
1237322852.0 1.7790811061 0 14693936.0
1237326844.0 1.7595307826 0 14697928.0
1237330844.0 1.7741935253 0 14701928.0
1237334852.0 1.7741935253 0 14705936.0
1237338860.0 1.7350928783 0 14709944.0
1237342860.0 1.6911046504 0 14713944.0
1237346856.0 1.6862169265 0 14717940.0
1237350864.0 1.7155425548 0 14721948.0
1237354868.0 1.7350928783 0 14725952.0
1237358868.0 1.7204301357 0 14729952.0
1237362872.0 1.6862169265 0 14733956.0
1237366868.0 1.6911046504 0 14737952.0
1237370864.0 1.7253177165 0 14741948.0
1237374880.0 1.74486804 0 14745964.0
1237378864.0 1.7302052974 0 14749948.0
1237382856.0 1.7008798122 0 14753940.0
1237386856.0 1.7008798122 0 14757940.0
1237390848.0 1.7302052974 0 14761932.0
1237394844.0 1.7546432018 0 14765928.0
1237398848.0 1.7399804592 0 14769932.0
1237402848.0 1.7155425548 0 14773932.0
1237406856.0 1.7253177165 0 14777940.0
1237410864.0 1.7644183635 0 14781948.0
1237414860.0 1.7888562679 0 14785944.0
1237418860.0 1.7741935253 0 14789944.0
1237422872.0 1.7399804592 0 14793956.0
1237426872.0 1.74486804 0 14797956.0
1237430852.0 1.7888562679 0 14801936.0
1237434860.0 1.7986314296 0 14805944.0
1237438868.0 1.7888562679 0 14809952.0
1237442876.0 1.7546432018 0 14813960.0
1237446876.0 1.7693059444 0 14817960.0
1237450868.0 1.7888562679 0 14821952.0
1237454868.0 1.808406639 0 14825952.0
1237458844.0 1.7888562679 0 14829928.0
1237462844.0 1.7644183635 0 14833928.0
1237466856.0 1.7497556209 0 14837940.0
1237470852.0 1.7741935253 0 14841936.0
1237474860.0 1.7937438488 0 14845944.0
1237478868.0 1.7693059444 0 14849952.0
1237482868.0 1.7350928783 0 14853952.0
1237486868.0 1.7350928783 0 14857952.0
1237490868.0 1.7693059444 0 14861952.0
1237494860.0 1.783968687 0 14865944.0
1237498852.0 1.7644183635 0 14869936.0
1237502860.0 1.7350928783 0 14873944.0
1237506864.0 1.7302052974 0 14877948.0
1237510852.0 1.7595307826 0 14881936.0
1237514852.0 1.783968687 0 14885936.0
1237518844.0 1.7644183635 0 14889928.0
1237522852.0 1.7350928783 0 14893936.0
1237526856.0 1.7350928783 0 14897940.0
1237530852.0 1.7644183635 0 14901936.0
1237534856.0 1.7888562679 0 14905940.0
1237538852.0 1.7693059444 0 14909936.0
1237542848.0 1.7350928783 0 14913932.0
1237546848.0 1.7302052974 0 14917932.0
1237550836.0 1.7595307826 0 14921920.0
1237554840.0 1.7790811061 0 14925924.0
1237558836.0 1.7595307826 0 14929920.0
1237562840.0 1.7253177165 0 14933924.0
1237566856.0 1.7253177165 0 14937940.0
1237570860.0 1.7595307826 0 14941944.0
1237574864.0 1.7888562679 0 14945948.0
1237578860.0 1.7693059444 0 14949944.0
1237582860.0 1.7399804592 0 14953944.0
1237586856.0 1.74486804 0 14957940.0
1237590840.0 1.7790811061 0 14961924.0
1237594836.0 1.7937438488 0 14965920.0
1237598844.0 1.7741935253 0 14969928.0
