timestamp,ecg_measurement
2.949739968000000000e+09,1.901270771000000082e+00
2.949743960000000000e+09,1.862170123999999927e+00
2.949747960000000000e+09,1.730205297399999953e+00
2.949751960000000000e+09,1.710654973900000098e+00
2.949755960000000000e+09,1.808406638999999982e+00
2.949759944000000000e+09,1.915933513599999971e+00
2.949763960000000000e+09,1.862170123999999927e+00
2.949767960000000000e+09,1.730205297399999953e+00
2.949771952000000000e+09,1.700879812199999952e+00
2.949775948000000000e+09,1.803519058200000025e+00
2.949779952000000000e+09,1.906158351800000039e+00
2.949783952000000000e+09,1.862170123999999927e+00
2.949787952000000000e+09,1.725317716499999987e+00
2.949791960000000000e+09,1.700879812199999952e+00
2.949795952000000000e+09,1.808406638999999982e+00
2.949799932000000000e+09,1.901270771000000082e+00
2.949803928000000000e+09,1.862170123999999927e+00
2.949807928000000000e+09,1.730205297399999953e+00
2.949811920000000000e+09,1.710654973900000098e+00
2.949815916000000000e+09,1.818181896200000036e+00
2.949819924000000000e+09,1.915933513599999971e+00
2.949823932000000000e+09,1.881720447500000004e+00
2.949827936000000000e+09,1.749755620900000030e+00
2.949831936000000000e+09,1.725317716499999987e+00
2.949835952000000000e+09,1.837732219600000105e+00
2.949839952000000000e+09,1.940371513299999906e+00
2.949843948000000000e+09,1.901270771000000082e+00
2.949847940000000000e+09,1.774193525300000074e+00
2.949851952000000000e+09,1.744868040000000065e+00
2.949855936000000000e+09,1.857282543099999961e+00
2.949859944000000000e+09,1.945259094200000094e+00
2.949863944000000000e+09,1.896383190099999894e+00
2.949867940000000000e+09,1.754643201799999996e+00
2.949871944000000000e+09,1.725317716499999987e+00
2.949875952000000000e+09,1.837732219600000105e+00
2.949879960000000000e+09,1.935483837100000049e+00
2.949883960000000000e+09,1.896383190099999894e+00
2.949887956000000000e+09,1.764418363499999920e+00
2.949891964000000000e+09,1.735092878299999919e+00
2.949895968000000000e+09,1.837732219600000105e+00
2.949899976000000000e+09,1.940371513299999906e+00
2.949903976000000000e+09,1.896383190099999894e+00
2.949907972000000000e+09,1.788856267899999963e+00
2.949911980000000000e+09,1.774193525300000074e+00
2.949915992000000000e+09,1.896383190099999894e+00
2.949919988000000000e+09,2.013685226399999806e+00
2.949924000000000000e+09,1.955034255900000018e+00
2.949927988000000000e+09,1.818181896200000036e+00
2.949931992000000000e+09,1.788856267899999963e+00
2.949935988000000000e+09,1.891495609199999928e+00
2.949939992000000000e+09,1.989247321999999984e+00
2.949943992000000000e+09,1.920821094499999937e+00
2.949947980000000000e+09,1.779081106100000031e+00
2.949951976000000000e+09,1.730205297399999953e+00
2.949955968000000000e+09,1.808406638999999982e+00
2.949959960000000000e+09,1.871945285700000072e+00
2.949963960000000000e+09,1.808406638999999982e+00
2.949967940000000000e+09,1.661779022199999956e+00
2.949971940000000000e+09,1.627565956099999989e+00
2.949975952000000000e+09,1.725317716499999987e+00
2.949979956000000000e+09,1.818181896200000036e+00
2.949983964000000000e+09,1.769305944400000108e+00
2.949987964000000000e+09,1.632453536899999946e+00
2.949991972000000000e+09,1.603128051699999945e+00
2.949995976000000000e+09,1.715542554800000064e+00
2.949999984000000000e+09,1.808406638999999982e+00
2.950003972000000000e+09,1.764418363499999920e+00
2.950007980000000000e+09,1.632453536899999946e+00
2.950011980000000000e+09,1.603128051699999945e+00
2.950015976000000000e+09,1.710654973900000098e+00
2.950019976000000000e+09,1.808406638999999982e+00
2.950023956000000000e+09,1.779081106100000031e+00
2.950027948000000000e+09,1.637341117799999912e+00
2.950031960000000000e+09,1.608015632599999911e+00
2.950035960000000000e+09,1.725317716499999987e+00
2.950039964000000000e+09,1.876832866600000038e+00
2.950043968000000000e+09,1.950146675100000060e+00
2.950047972000000000e+09,2.018572807299999994e+00
2.950051972000000000e+09,2.277614831899999803e+00
2.950055980000000000e+09,2.697947263700000153e+00
2.950059980000000000e+09,3.103616714400000198e+00
2.950063980000000000e+09,3.284457445100000150e+00
2.950067988000000000e+09,3.157380342400000206e+00
2.950071992000000000e+09,2.937438964800000107e+00
2.950075996000000000e+09,2.629521131500000219e+00
2.950080012000000000e+09,2.170088052700000159e+00
2.950083996000000000e+09,1.681329345700000033e+00
2.950088004000000000e+09,1.265884637799999934e+00
2.950092004000000000e+09,1.085044021599999908e+00
2.950095996000000000e+09,1.177908062900000052e+00
2.950099988000000000e+09,1.309872865600000047e+00
2.950103980000000000e+09,1.378299117000000074e+00
2.950107980000000000e+09,1.344086050900000107e+00
2.950111964000000000e+09,1.412512207000000020e+00
2.950115964000000000e+09,1.559139728499999933e+00
2.950119976000000000e+09,1.700879812199999952e+00
2.950123964000000000e+09,1.695992231299999986e+00
2.950127972000000000e+09,1.598240470799999979e+00
2.950131964000000000e+09,1.598240470799999979e+00
2.950135964000000000e+09,1.720430135700000029e+00
2.950139960000000000e+09,1.827957057899999960e+00
2.950143948000000000e+09,1.793743848799999929e+00
2.950147956000000000e+09,1.676441764800000067e+00
2.950151956000000000e+09,1.666666602999999913e+00
2.950155956000000000e+09,1.783968686999999997e+00
2.950159948000000000e+09,1.901270771000000082e+00
2.950163944000000000e+09,1.862170123999999927e+00
2.950167940000000000e+09,1.754643201799999996e+00
2.950171944000000000e+09,1.730205297399999953e+00
2.950175936000000000e+09,1.842619800500000071e+00
2.950179928000000000e+09,1.945259094200000094e+00
2.950183920000000000e+09,1.915933513599999971e+00
2.950187924000000000e+09,1.798631429600000109e+00
2.950191928000000000e+09,1.788856267899999963e+00
2.950195932000000000e+09,1.915933513599999971e+00
2.950199940000000000e+09,2.018572807299999994e+00
2.950203936000000000e+09,1.989247321999999984e+00
2.950207936000000000e+09,1.867057704899999893e+00
2.950211924000000000e+09,1.852394962300000003e+00
2.950215936000000000e+09,1.974584579400000095e+00
2.950219940000000000e+09,2.077223777699999996e+00
2.950223932000000000e+09,2.047898292500000217e+00
2.950227928000000000e+09,1.930596256200000083e+00
2.950231928000000000e+09,1.920821094499999937e+00
2.950235924000000000e+09,2.043010711600000029e+00
2.950239916000000000e+09,2.155425310100000047e+00
2.950243924000000000e+09,2.135874986600000192e+00
2.950247932000000000e+09,2.023460388100000173e+00
2.950251924000000000e+09,2.028347968999999917e+00
2.950255916000000000e+09,2.155425310100000047e+00
2.950259924000000000e+09,2.272727251000000059e+00
2.950263924000000000e+09,2.253176927500000204e+00
2.950267932000000000e+09,2.135874986600000192e+00
2.950271924000000000e+09,2.130987405700000004e+00
2.950275916000000000e+09,2.243401765799999836e+00
2.950279916000000000e+09,2.341153383199999993e+00
2.950283924000000000e+09,2.282502412699999983e+00
2.950287924000000000e+09,2.145650148300000115e+00
2.950291924000000000e+09,2.130987405700000004e+00
2.950295916000000000e+09,2.214076280500000049e+00
2.950299908000000000e+09,2.297165155400000103e+00
2.950303916000000000e+09,2.214076280500000049e+00
2.950307908000000000e+09,2.062561035099999884e+00
2.950311900000000000e+09,2.003910064599999874e+00
2.950315884000000000e+09,2.072336196799999808e+00
2.950319884000000000e+09,2.106549262999999783e+00
2.950323884000000000e+09,2.008797645500000062e+00
2.950327876000000000e+09,1.832844638799999926e+00
2.950331884000000000e+09,1.754643201799999996e+00
2.950335888000000000e+09,1.808406638999999982e+00
2.950339880000000000e+09,1.847507381400000037e+00
2.950343876000000000e+09,1.759530782599999954e+00
2.950347868000000000e+09,1.598240470799999979e+00
2.950351860000000000e+09,1.544476985900000043e+00
2.950355864000000000e+09,1.622678375200000023e+00
2.950359872000000000e+09,1.700879812199999952e+00
2.950363860000000000e+09,1.647116279600000066e+00
2.950367876000000000e+09,1.510263919800000076e+00
2.950371880000000000e+09,1.480938434600000075e+00
2.950375876000000000e+09,1.578690147299999902e+00
2.950379876000000000e+09,1.676441764800000067e+00
2.950383884000000000e+09,1.637341117799999912e+00
2.950387892000000000e+09,1.505376338900000110e+00
2.950391888000000000e+09,1.490713596299999999e+00
2.950395884000000000e+09,1.598240470799999979e+00
2.950399876000000000e+09,1.705767393099999918e+00
2.950403888000000000e+09,1.681329345700000033e+00
2.950407892000000000e+09,1.554252147599999967e+00
2.950411900000000000e+09,1.534701824099999889e+00
2.950415900000000000e+09,1.652003860400000024e+00
2.950419892000000000e+09,1.754643201799999996e+00
2.950423896000000000e+09,1.730205297399999953e+00
2.950427884000000000e+09,1.603128051699999945e+00
2.950431888000000000e+09,1.593352890000000022e+00
2.950435876000000000e+09,1.705767393099999918e+00
2.950439872000000000e+09,1.808406638999999982e+00
2.950443860000000000e+09,1.774193525300000074e+00
2.950447868000000000e+09,1.652003860400000024e+00
2.950451860000000000e+09,1.637341117799999912e+00
2.950455872000000000e+09,1.744868040000000065e+00
2.950459864000000000e+09,1.857282543099999961e+00
2.950463872000000000e+09,1.808406638999999982e+00
2.950467856000000000e+09,1.691104650400000020e+00
2.950471852000000000e+09,1.666666602999999913e+00
2.950475844000000000e+09,1.774193525300000074e+00
2.950479848000000000e+09,1.867057704899999893e+00
2.950483836000000000e+09,1.823069476999999994e+00
2.950487832000000000e+09,1.686216926499999991e+00
2.950491836000000000e+09,1.661779022199999956e+00
2.950495844000000000e+09,1.774193525300000074e+00
2.950499856000000000e+09,1.871945285700000072e+00
2.950503852000000000e+09,1.832844638799999926e+00
2.950507864000000000e+09,1.700879812199999952e+00
2.950511856000000000e+09,1.671554183900000101e+00
2.950515860000000000e+09,1.783968686999999997e+00
2.950519852000000000e+09,1.881720447500000004e+00
2.950523848000000000e+09,1.842619800500000071e+00
2.950527840000000000e+09,1.710654973900000098e+00
2.950531836000000000e+09,1.676441764800000067e+00
2.950535844000000000e+09,1.783968686999999997e+00
2.950539848000000000e+09,1.871945285700000072e+00
2.950543844000000000e+09,1.823069476999999994e+00
2.950547836000000000e+09,1.695992231299999986e+00
2.950551848000000000e+09,1.671554183900000101e+00
2.950555856000000000e+09,1.788856267899999963e+00
2.950559844000000000e+09,1.876832866600000038e+00
2.950563852000000000e+09,1.837732219600000105e+00
2.950567856000000000e+09,1.710654973900000098e+00
2.950571852000000000e+09,1.691104650400000020e+00
2.950575844000000000e+09,1.813294315300000070e+00
2.950579856000000000e+09,1.906158351800000039e+00
2.950583856000000000e+09,1.867057704899999893e+00
2.950587856000000000e+09,1.739980459200000107e+00
2.950591852000000000e+09,1.720430135700000029e+00
2.950595856000000000e+09,1.842619800500000071e+00
2.950599856000000000e+09,1.930596256200000083e+00
2.950603848000000000e+09,1.901270771000000082e+00
2.950607828000000000e+09,1.774193525300000074e+00
2.950611836000000000e+09,1.769305944400000108e+00
2.950615840000000000e+09,1.901270771000000082e+00
2.950619828000000000e+09,2.013685226399999806e+00
2.950623832000000000e+09,1.969696998499999907e+00
2.950627832000000000e+09,1.842619800500000071e+00
2.950631820000000000e+09,1.818181896200000036e+00
2.950635832000000000e+09,1.925708675299999895e+00
2.950639828000000000e+09,2.013685226399999806e+00
2.950643832000000000e+09,1.950146675100000060e+00
2.950647836000000000e+09,1.803519058200000025e+00
2.950651820000000000e+09,1.759530782599999954e+00
2.950655824000000000e+09,1.847507381400000037e+00
2.950659832000000000e+09,1.915933513599999971e+00
2.950663840000000000e+09,1.847507381400000037e+00
2.950667836000000000e+09,1.705767393099999918e+00
2.950671848000000000e+09,1.671554183900000101e+00
2.950675852000000000e+09,1.759530782599999954e+00
2.950679856000000000e+09,1.847507381400000037e+00
2.950683852000000000e+09,1.823069476999999994e+00
2.950687836000000000e+09,1.676441764800000067e+00
2.950691836000000000e+09,1.661779022199999956e+00
2.950695836000000000e+09,1.759530782599999954e+00
2.950699836000000000e+09,1.852394962300000003e+00
2.950703844000000000e+09,1.798631429600000109e+00
2.950707856000000000e+09,1.671554183900000101e+00
2.950711860000000000e+09,1.652003860400000024e+00
2.950715852000000000e+09,1.759530782599999954e+00
2.950719852000000000e+09,1.852394962300000003e+00
2.950723860000000000e+09,1.803519058200000025e+00
2.950727864000000000e+09,1.671554183900000101e+00
2.950731860000000000e+09,1.642228698700000100e+00
2.950735864000000000e+09,1.749755620900000030e+00
2.950739860000000000e+09,1.876832866600000038e+00
2.950743872000000000e+09,1.915933513599999971e+00
2.950747880000000000e+09,1.925708675299999895e+00
2.950751876000000000e+09,2.126099824899999824e+00
2.950755876000000000e+09,2.502443790400000090e+00
2.950759868000000000e+09,2.883675575199999841e+00
2.950763868000000000e+09,3.059628486599999864e+00
2.950767868000000000e+09,3.000977516099999853e+00
2.950771860000000000e+09,2.825024414000000039e+00
2.950775852000000000e+09,2.580645084299999947e+00
2.950779836000000000e+09,2.184750795299999826e+00
2.950783836000000000e+09,1.676441764800000067e+00
2.950787844000000000e+09,1.207233667299999924e+00
2.950791844000000000e+09,9.579667091000000356e-01
2.950795828000000000e+09,9.775171279000000046e-01
2.950799824000000000e+09,1.099706764200000020e+00
2.950803816000000000e+09,1.158357739399999975e+00
2.950807816000000000e+09,1.143694996800000085e+00
2.950811820000000000e+09,1.221896409900000036e+00
2.950815804000000000e+09,1.402737045200000088e+00
2.950819796000000000e+09,1.564027404700000012e+00
2.950823788000000000e+09,1.573802566499999944e+00
2.950827792000000000e+09,1.480938434600000075e+00
2.950831792000000000e+09,1.485826015400000033e+00
2.950835788000000000e+09,1.598240470799999979e+00
2.950839780000000000e+09,1.705767393099999918e+00
2.950843780000000000e+09,1.676441764800000067e+00
2.950847788000000000e+09,1.564027404700000012e+00
2.950851780000000000e+09,1.544476985900000043e+00
2.950855780000000000e+09,1.652003860400000024e+00
2.950859768000000000e+09,1.749755620900000030e+00
2.950863768000000000e+09,1.710654973900000098e+00
2.950867768000000000e+09,1.593352890000000022e+00
2.950871756000000000e+09,1.568914985599999978e+00
2.950875764000000000e+09,1.681329345700000033e+00
2.950879772000000000e+09,1.783968686999999997e+00
2.950883772000000000e+09,1.754643201799999996e+00
2.950887772000000000e+09,1.637341117799999912e+00
2.950891784000000000e+09,1.622678375200000023e+00
2.950895792000000000e+09,1.739980459200000107e+00
2.950899784000000000e+09,1.857282543099999961e+00
2.950903784000000000e+09,1.808406638999999982e+00
2.950907764000000000e+09,1.705767393099999918e+00
2.950911772000000000e+09,1.681329345700000033e+00
2.950915792000000000e+09,1.808406638999999982e+00
2.950919776000000000e+09,1.915933513599999971e+00
2.950923780000000000e+09,1.891495609199999928e+00
2.950927780000000000e+09,1.774193525300000074e+00
2.950931788000000000e+09,1.759530782599999954e+00
2.950935788000000000e+09,1.881720447500000004e+00
2.950939792000000000e+09,1.994134902899999950e+00
2.950943788000000000e+09,1.969696998499999907e+00
2.950947784000000000e+09,1.867057704899999893e+00
2.950951784000000000e+09,1.862170123999999927e+00
2.950955784000000000e+09,1.994134902899999950e+00
2.950959780000000000e+09,2.106549262999999783e+00
2.950963780000000000e+09,2.086998939499999928e+00
2.950967776000000000e+09,1.974584579400000095e+00
2.950971776000000000e+09,1.969696998499999907e+00
2.950975772000000000e+09,2.091886520300000107e+00
2.950979764000000000e+09,2.189638376200000014e+00
2.950983764000000000e+09,2.150537729199999859e+00
2.950987756000000000e+09,2.013685226399999806e+00
2.950991760000000000e+09,1.989247321999999984e+00
2.950995756000000000e+09,2.086998939499999928e+00
2.950999756000000000e+09,2.170088052700000159e+00
2.951003748000000000e+09,2.121212005599999895e+00
2.951007752000000000e+09,1.950146675100000060e+00
2.951011752000000000e+09,1.896383190099999894e+00
2.951015752000000000e+09,1.955034255900000018e+00
2.951019748000000000e+09,2.008797645500000062e+00
2.951023740000000000e+09,1.915933513599999971e+00
2.951027748000000000e+09,1.739980459200000107e+00
2.951031740000000000e+09,1.661779022199999956e+00
2.951035744000000000e+09,1.720430135700000029e+00
