timestamp,measurement,qrs_detected
2974211132,2.2189638614,0
2974215132,2.2434017658,0
2974219132,2.2385141849,0
2974223140,2.2043011188,0
2974227140,2.2189638614,0
2974231148,2.3167154788,0
2974235156,2.4437928199,0
2974239156,2.4633431434,0
2974243172,2.4242424964,0
2974247180,2.3655912876,0
2974251188,2.3558161258,0
2974255188,2.3509285449,0
2974259180,2.2825024127,0
2974263188,2.1798632144,0
2974267196,2.1212120056,0
2974271196,2.1260998249,0
2974275196,2.1652004718,0
2974279196,2.1505377292,0
2974283204,2.0918865203,0
2974287196,2.0430107116,0
2974291188,2.0478982925,0
2974295188,2.0821113586,0
2974299192,2.0283479690,0
2974303184,1.9452590942,0
2974307180,1.8719452857,0
2974311188,1.8621701240,0
2974315188,1.8719452857,0
2974319196,1.8328446388,0
2974323204,1.7595307826,0
2974327204,1.7008798122,0
2974331196,1.7155425548,0
2974335204,1.7595307826,0
2974339204,1.7399804592,0
2974343204,1.7008798122,0
2974347188,1.6666666030,0
2974351188,1.7008798122,0
2974355188,1.7546432018,0
2974359196,1.7546432018,0
2974363204,1.7204301357,0
2974367204,1.6911046504,0
2974371204,1.7302052974,0
2974375204,1.7839686870,0
2974379196,1.7839686870,0
2974383188,1.7253177165,0
2974387196,1.6862169265,0
2974391204,1.7155425548,0
2974395212,1.7595307826,0
2974399216,1.7497556209,0
2974403212,1.6959922313,0
2974407216,1.6471162796,0
2974411220,1.6764417648,0
2974415220,1.7350928783,0
2974419216,1.7106549739,0
2974423212,1.6568914413,0
2974427212,1.6080156326,0
2974431204,1.6324535369,0
2974435212,1.6666666030,0
2974439204,1.6520038604,0
2974443196,1.5835777282,0
2974447204,1.5395894050,0
2974451196,1.5689149856,0
2974455204,1.6031280517,0
2974459204,1.5835777282,0
2974463212,1.5102639198,0
2974467212,1.4662756919,0
2974471220,1.4858260154,0
2974475212,1.5298142433,0
2974479216,1.5200390815,0
2974483204,1.4613881111,0
2974487212,1.4222873687,0
2974491216,1.4418377876,0
2974495216,1.4809384346,0
2974499216,1.4711632728,0
2974503220,1.4125122070,0
2974507216,1.3636363744,0
2974511216,1.3880742835,0
2974515220,1.4222873687,0
2974519212,1.4173997879,0
2974523216,1.3587487936,0
2974527220,1.3245357275,0
2974531220,1.3489736318,0
2974535220,1.3880742835,0
2974539216,1.3734115362,0
2974543220,1.3049852848,0
2974547216,1.2658846378,0
2974551216,1.3000977039,0
2974555196,1.3831867027,0
2974559196,1.4222873687,0
2974563204,1.4125122070,0
2974567204,1.4173997879,0
2974571212,1.4760508537,0
2974575204,1.5542521476,0
2974579212,1.5835777282,0
2974583216,1.5591397285,0
2974587216,1.5493645668,0
2974591216,1.5933528900,0
2974595212,1.6422286987,0
2974599220,1.6177907943,0
2974603212,1.5347018241,0
2974607216,1.4711632728,0
2974611224,1.4809384346,0
2974615220,1.5151515007,0
2974619216,1.5102639198,0
2974623216,1.4418377876,0
2974627216,1.4076246261,0
2974631216,1.4516129493,0
2974635216,1.5249266624,0
2974639212,1.5395894050,0
2974643212,1.4956011772,0
2974647204,1.4613881111,0
2974651216,1.5004887580,0
2974655204,1.5835777282,0
2974659212,1.5884653091,0
2974663212,1.5444769859,0
2974667216,1.5200390815,0
2974671212,1.5200390815,0
2974675204,1.5640274047,0
2974679204,1.5591397285,0
2974683204,1.5298142433,0
2974687204,1.5640274047,0
2974691196,1.7302052974,0
2974695200,1.9941349029,0
2974699196,2.2825024127,0
2974703196,2.5610947608,0
2974707188,2.8054740905,0
2974711180,3.0449657440,0
2974715172,3.0694036483,0
2974719156,2.8445747375,0
2974723156,2.3411533832,0
2974727180,1.7693059444,0
2974731172,1.3294233083,0
2974735160,1.0801564407,1
2974739156,0.9775171279,0
2974743156,0.9188660621,0
2974747148,0.9677418708,0
2974751136,1.0703812837,0
2974755132,1.2267839908,0
2974759124,1.3049852848,0
2974763116,1.3343108892,0
2974767116,1.3538612127,0
2974771124,1.4222873687,0
2974775132,1.5053763389,0
2974779132,1.5053763389,0
2974783136,1.4662756919,0
2974787140,1.4222873687,0
2974791152,1.4320625305,0
2974795152,1.4662756919,0
2974799160,1.4662756919,0
2974803172,1.4320625305,0
2974807172,1.4369501113,0
2974811176,1.5053763389,0
2974815172,1.6080156326,0
2974819172,1.6666666030,0
2974823172,1.6764417648,0
2974827180,1.6959922313,0
2974831192,1.7497556209,0
2974835188,1.8230694770,0
2974839180,1.8328446388,0
2974843188,1.7839686870,0
2974847188,1.7546432018,0
2974851180,1.7741935253,0
2974855196,1.8084066390,0
2974859180,1.7888562679,0
2974863180,1.7155425548,0
2974867188,1.6764417648,0
2974871196,1.6959922313,0
2974875204,1.7644183635,0
2974879212,1.7888562679,0
2974883212,1.7546432018,0
2974887212,1.7350928783,0
2974891212,1.7888562679,0
2974895216,1.8670577049,0
2974899212,1.8866080284,0
2974903196,1.8426198005,0
2974907196,1.8230694770,0
2974911188,1.8621701240,0
2974915188,1.9159335136,0
2974919208,1.9061583518,0
2974923204,1.8328446388,0
2974927212,1.7790811061,0
2974931212,1.7790811061,0
2974935216,1.7937438488,0
2974939212,1.7644183635,0
2974943212,1.6471162796,0
2974947216,1.5689149856,0
2974951216,1.5591397285,0
2974955216,1.5835777282,0
2974959216,1.5640274047,0
2974963212,1.5053763389,0
2974967212,1.4662756919,0
2974971216,1.4809384346,0
2974975216,1.5200390815,0
2974979204,1.5053763389,0
2974983204,1.4516129493,0
2974987204,1.4222873687,0
2974991212,1.4760508537,0
2974995212,1.5347018241,0
2974999216,1.5591397285,0
2975003216,1.5347018241,0
2975007216,1.5298142433,0
2975011216,1.5591397285,0
2975015216,1.6275659561,0
2975019220,1.6324535369,0
2975023216,1.5884653091,0
2975027220,1.5640274047,0
2975031204,1.6177907943,0
2975035204,1.6959922313,0
2975039212,1.7302052974,0
2975043212,1.7204301357,0
2975047212,1.7350928783,0
2975051212,1.8279570579,0
2975055216,1.9452590942,0
2975059216,1.9941349029,0
2975063212,1.9745845794,0
2975067212,1.9745845794,0
2975071212,2.0381231307,0
2975075212,2.1065492630,0
2975079212,2.1212120056,0
2975083212,2.0821113586,0
2975087216,2.0478982925,0
2975091212,2.0918865203,0
2975095204,2.1505377292,0
2975099204,2.1505377292,0
2975103204,2.0869989395,0
2975107204,2.0430107116,0
2975111200,2.0869989395,0
2975115196,2.1212120056,0
2975119204,2.1114368438,0
2975123212,2.0430107116,0
2975127208,1.9990224838,0
2975131204,2.0332355499,0
2975135204,2.0674486160,0
2975139196,2.0723361968,0
2975143196,2.0234603881,0
2975147188,2.0136852264,0
2975151180,2.0674486160,0
2975155172,2.1358749866,0
2975159180,2.1456501483,0
2975163188,2.1065492630,0
2975167188,2.0918865203,0
2975171180,2.1407625675,0
2975175188,2.2043011188,0
2975179188,2.2091886997,0
2975183188,2.1554253101,0
2975187196,2.1163244247,0
2975191212,2.1554253101,0
2975195212,2.1896383762,0
2975199212,2.1749756336,0
2975203216,2.1114368438,0
2975207220,2.0723361968,0
2975211216,2.1163244247,0
2975215220,2.1749756336,0
2975219220,2.1896383762,0
2975223220,2.1603128910,0
2975227216,2.1603128910,0
2975231216,2.2287390232,0
2975235216,2.3020527362,0
2975239208,2.3069403171,0
2975243204,2.2580645084,0
2975247196,2.2091886997,0
2975251196,2.2189638614,0
2975255204,2.2482893466,0
2975259204,2.2189638614,0
2975263212,2.1358749866,0
2975267212,2.0772237777,0
2975271212,2.0674486160,0
2975275212,2.0821113586,0
2975279212,2.0332355499,0
2975283220,1.9403715133,0
2975287212,1.8768328666,0
2975291216,1.8768328666,0
2975295216,1.9159335136,0
2975299220,1.9110459327,0
2975303216,1.8523949623,0
2975307216,1.8377322196,0
